BINARY SubClassOf Bonding MaterialProcessing
BINARY is BoneInjury Class
BINARY SubClassOf BoneInjury Injury
BINARY is Braiding Class
BINARY SubClassOf Braiding MaterialProcessing
BINARY is BulkModulus Class
BINARY SubClassOf BulkModulus MechanicalProperty
BINARY is Capsule Class
BINARY SubClassOf Capsule Structure
BINARY is Casting Class
BINARY SubClassOf Casting MaterialProcessing
BINARY is CellActivation Class
BINARY SubClassOf CellActivation AssociatedBiologicalProcess
BINARY is CellAdhesion Class
BINARY SubClassOf CellAdhesion AssociatedBiologicalProcess
BINARY is CellCarrier Class
BINARY SubClassOf CellCarrier ManufacturedObject
BINARY is CellDetachment Class
BINARY SubClassOf CellDetachment AssociatedBiologicalProcess
BINARY is CellPolarization Class
BINARY is CellSeeding Class
BINARY SubClassOf CellSeeding ResearchTechnique
BINARY is CellSheet Class
BINARY SubClassOf CellSheet ManufacturedObjectComponent
BINARY is CellSignaling Class
BINARY SubClassOf CellSignaling AssociatedBiologicalProcess
BINARY is Cement Class
BINARY SubClassOf Cement ManufacturedObject
BINARY is ChemicalFormula Class
BINARY SubClassOf ChemicalFormula ChemicalProperty
BINARY is ChemicalProperty Class
BINARY SubClassOf ChemicalProperty ManufacturedObjectFeatures
BINARY is ChemodrugDelivery Class
BINARY SubClassOf ChemodrugDelivery DrugDelivery
BINARY is Chemotaxis Class
BINARY SubClassOf Chemotaxis AssociatedBiologicalProcess
BINARY is Circular Class
BINARY SubClassOf Circular Shape
BINARY is ClinicalStudy Class
BINARY is Coacervation Class
BINARY SubClassOf Coacervation MaterialProcessing
BINARY is Coat Class
BINARY SubClassOf Coat ManufacturedObjectComponent
BINARY is Coating Class
BINARY SubClassOf Coating MaterialProcessing
BINARY is Coil Class
BINARY SubClassOf Coil Structure
BINARY is ColdAtmosphericPressurePlasmaTreatment Class
BINARY SubClassOf ColdAtmosphericPressurePlasmaTreatment PlasmaTreatment
BINARY is Collagen Class
BINARY SubClassOf Collagen BiologicallyActiveSubstance
BINARY is Colloid Class
BINARY SubClassOf Colloid Structure
BINARY is Composite Class
BINARY SubClassOf Composite BiomaterialType
BINARY is CompressiveModulus Class
BINARY SubClassOf CompressiveModulus MechanicalProperty
BINARY is CompressiveStrength Class
BINARY SubClassOf CompressiveStrength MechanicalProperty
BINARY is Conditioning Class
BINARY SubClassOf Conditioning MaterialProcessing
BINARY is Conductivity Class
BINARY SubClassOf Conductivity PhysicalProperty,
BINARY SubClassOf Conductivity conductive_value_true
BINARY is Conduit Class
BINARY is ContactLenses Class
BINARY SubClassOf ContactLenses Lenses
BINARY is ContinuousSuture Class
BINARY SubClassOf ContinuousSuture SurgicalImplant
BINARY is Copolymer Class
BINARY SubClassOf Copolymer Polymer
BINARY is Core Class
BINARY SubClassOf Core ManufacturedObjectComponent
BINARY is CorrosionBehavior Class
BINARY SubClassOf CorrosionBehavior OtherFeatures
BINARY is CorrosionResistance Class
