BINARY SubClassOf time_of_monitoring Lab_monitoring
BINARY is treatment_plan Class
BINARY SubClassOf treatment_plan process
BINARY is ٰVestibular_rehabilitation Class
BINARY SubClassOf ٰVestibular_rehabilitation Rehabilitation
BINARY is Entity Class
BINARY is occurrent Class
BINARY SubClassOf occurrent Entity
BINARY is process Class
BINARY SubClassOf process occurrent
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Refer_to
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Exercise
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Rehabilitation
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Refer_to
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Psychotherapy
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Recommendations
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Psychotherapy
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY is Recommendation_for_weakness www.co-ode.org/ontologies/ont.#
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Refer_to
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Exercise
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Refer_to
BINARY is www.co-ode.org/ontologies/ont.# Class
BINARY SubClassOf www.co-ode.org/ontologies/ont.# Refer_to
BINARY is www.w3.org/2002/07/# Class
BINARY is _Aerobic Individual
BINARY Types _Aerobic Aerobic
BINARY is _Endurance_training Individual
BINARY is Endurance_training www.co-ode.org/ontologies/ont.#
BINARY is _Treadmill_walking Individual
BINARY Types _Treadmill_walking Treadmill_walking
BINARY DisjointClasses _Treadmill_walking Acceptance_and_commitment_therapy,Biofeedback,Counseling,Group_therapy
BINARY DisjointClasses _Treadmill_walking Acceptance_and_commitment_therapy,Biofeedback,Counseling,Group_therapy,Stress_management
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises,Home-based
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises,Home-based,Kegel
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises,Home-based,Kegel,Pilates
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises,Home-based,Kegel,Pilates,Resistance_training
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises,Home-based,Kegel,Pilates,Resistance_training,Strengthening
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises,Home-based,Kegel,Pilates,Resistance_training,Strengthening,Stretching
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises,Home-based,Kegel,Pilates,Resistance_training,Strengthening,Stretching,Treadmill_walking
BINARY DisjointClasses _Treadmill_walking Aerobic,Aquatic_exercise,Balance_and_coordination,Cycling,Eye_muscle_exercises,Home-based,Kegel,Pilates,Resistance_training,Strengthening,Stretching,Treadmill_walking,Yoga
BINARY DisjointClasses _Treadmill_walking Braces,Motorized_scooters,Scooter
BINARY DisjointClasses _Treadmill_walking Braces,Motorized_scooters,Scooter,Splints
BINARY DisjointClasses _Treadmill_walking Braces,Motorized_scooters,Scooter,Splints,Wheelchair
BINARY DisjointClasses _Treadmill_walking Brain_stimulation,Cryostimulation,Deep_transcranial_magnetic_stimulation
BINARY DisjointClasses _Treadmill_walking Brain_stimulation,Cryostimulation,Deep_transcranial_magnetic_stimulation,Digital_stimulation
BINARY DisjointClasses _Treadmill_walking Brain_stimulation,Cryostimulation,Deep_transcranial_magnetic_stimulation,Digital_stimulation,Functional_electrical_stimulation
BINARY DisjointClasses _Treadmill_walking Brain_stimulation,Cryostimulation,Deep_transcranial_magnetic_stimulation,Digital_stimulation,Functional_electrical_stimulation,Intermittent_Theta_Burst_Stimulation
